卫视频道,#genre#
上海卫视,http://58.210.60.226:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.836 MB/s
上海卫视,http://222.185.245.194:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.780 MB/s
上海卫视,http://222.92.7.170:3334/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.665 MB/s
上海卫视,http://222.92.7.170:3333/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.632 MB/s
东南卫视,http://115.171.86.183:9901/tsfile/live/16051_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.689 MB/s
东南卫视,http://61.130.72.18:8888/tsfile/live/0119_2.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.096 MB/s
东南卫视,http://58.210.60.226:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.973 MB/s
东南卫视,http://221.226.4.10:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.817 MB/s
东南卫视,http://222.185.245.194:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.730 MB/s
东南卫视,http://58.220.219.14:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.665 MB/s
东南卫视,http://222.71.189.186:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.481 MB/s
东南卫视,http://43.139.34.228:8008/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.001 MB/s
东方卫视,http://115.171.86.183:9901/tsfile/live/16049_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.706 MB/s
东方卫视,http://221.226.4.10:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.337 MB/s
